date,deal,amount,open,high,low,close,RD,volume,MA5,MA10,MA20,MA30,SMA5,SMA10,SMA20,SMA30,EMA5,EMA10,EMA20,EMA30,WMA5,WMA10,WMA20,WMA30,next_high,next_low,change_n_pct,signal,high_max,threshold,target,upper_band,middle_band,lower_band
2010-03-30,30055532,1865717231,62.4,62.4,61.7,62.2,0.0,7639,61.69999999999999,60.80000000000001,60.66000000000001,60.046666666666674,61.69999999999999,60.80000000000001,60.66000000000001,60.046666666666674,61.67377478946752,61.156244257389794,60.73518332828476,60.761479730854724,61.95999999999997,61.221818181818215,60.84714285714287,60.55677419354838,66.554,57.846000000000004,0.32154340836012174,0,62.4,64.688,0.0032154340836012176,62.54509946687056,60.66000000000001,58.77490053312946
2010-03-31,39288879,2433883486,62.2,62.2,61.5,61.5,-0.7,6916,61.879999999999995,60.90000000000001,60.735000000000014,60.183333333333344,61.879999999999995,60.90000000000001,60.735000000000014,60.183333333333344,61.61584985964502,61.21874530150074,60.80802301130526,60.80912619983184,61.89333333333331,61.34909090909094,60.92714285714287,60.650537634408586,65.805,57.195,3.089430894308941,0,63.4,63.96,0.030894308943089407,62.62843603007729,60.735000000000014,58.84156396992274
2010-04-01,54739709,3404396540,61.5,62.5,61.5,62.1,0.6,10586,62.0,61.070000000000014,60.88000000000001,60.300000000000004,62.0,61.070000000000014,60.88000000000001,60.300000000000004,61.77723323976335,61.37897342850061,60.9310684388,60.89240838048785,61.96666666666665,61.56727272727276,61.057142857142864,60.77419354838708,66.447,57.75300000000001,2.2544283413848607,0,63.5,64.584,0.022544283413848606,62.72455956802676,60.88000000000001,59.03544043197326
2010-04-02,17373507,1083207922,62.5,62.5,62.1,62.4,0.3,4724,62.08,61.31000000000002,60.980000000000004,60.433333333333344,62.08,61.31000000000002,60.980000000000004,60.433333333333344,61.98482215984223,61.564614623318676,61.07096668272381,60.98967235594025,62.09999999999998,61.80909090909093,61.20190476190477,60.90967741935482,66.768,58.032000000000004,-0.16025641025641252,0,63.5,64.896,0.017628205128205152,62.92381069037066,60.980000000000004,59.03618930962935
2010-04-06,53216421,3367687345,62.8,63.5,62.8,63.4,1.0,14967,62.31999999999999,61.750000000000014,61.09000000000001,60.58000000000001,62.31999999999999,61.750000000000014,61.09000000000001,60.58000000000001,62.456548106561485,61.89832105544255,61.29277937960725,61.145177365234424,62.53999999999998,62.189090909090936,61.43238095238096,61.10107526881719,67.83800000000001,58.962,-1.104100946372233,0,63.5,65.936,0.0015772870662460793,63.301696181665875,61.09000000000001,58.878303818334146
2010-04-07,49685972,3150811649,63.5,63.5,63.1,63.5,0.1,13008,62.58,62.14000000000001,61.20000000000001,60.70333333333335,62.58,62.14000000000001,61.20000000000001,60.70333333333335,62.80436540437432,62.18953540899845,61.502990867263705,61.29710140618704,62.933333333333316,62.507272727272756,61.661904761904765,61.289462365591376,67.94500000000001,59.055,-0.6299212598425175,0,63.5,66.04,0.0,63.648673110072835,61.20000000000001,58.751326889927185
2010-04-08,48608322,3038128062,62.8,63.0,62.1,62.3,-1.2,10165,62.739999999999995,62.31,61.245000000000005,60.83000000000001,62.739999999999995,62.31,61.245000000000005,60.83000000000001,62.63624360291622,62.20961988008964,61.57889649895287,61.361804541271745,62.83999999999999,62.53636363636366,61.766666666666666,61.392473118279554,66.661,57.939,0.9630818619582688,0,63.1,64.792,0.012841091492776955,63.73937366887863,61.245000000000005,58.75062633112138
2010-04-09,31648457,1981046902,61.9,63.0,61.9,62.7,0.4,8230,62.86,62.43000000000001,61.31,60.98000000000001,62.86,62.43000000000001,61.31,60.98000000000001,62.65749573527748,62.29877990189152,61.685668260957364,61.448139732157436,62.82666666666666,62.60727272727275,61.9052380952381,61.51311827956987,67.08900000000001,58.31100000000001,1.7543859649122715,0,63.8,65.208,0.017543859649122716,63.88363556083482,61.31,58.736364439165186
2010-04-12,36942889,2330663522,63.3,63.4,62.8,63.1,0.4,6735,63.0,62.540000000000006,61.425,61.12333333333334,63.0,62.540000000000006,61.425,61.12333333333334,62.804997156851655,62.44445628336579,61.82036652181857,61.554711362340825,62.90666666666666,62.729090909090935,62.075714285714284,61.64989247311826,67.51700000000001,58.68300000000001,2.0602218700475503,0,64.4,65.62400000000001,0.020602218700475503,64.10072420103344,61.425,58.74927579896654
2010-04-13,42767182,2688670621,63.0,63.1,62.1,62.9,-0.2,8860,62.9,62.61,61.580000000000005,61.23333333333335,62.9,62.61,61.580000000000005,61.23333333333335,62.83666477123444,62.52728241366292,61.92318875783585,61.641504177673674,62.87333333333333,62.79454545454548,62.21619047619048,61.76451612903224,67.303,58.497,0.15898251192369067,0,64.4,65.416,0.023847376788553372,64.22015151080254,61.580000000000005,58.93984848919747
2010-04-14,55676512,3527079086,63.1,63.8,62.9,63.8,0.9,11370,62.96,62.769999999999996,61.785000000000004,61.363333333333344,62.96,62.769999999999996,61.785000000000004,61.363333333333344,63.15777651415629,62.75868561117875,62.10193268566101,61.78076197266247,63.173333333333325,63.01090909090912,62.42761904761905,61.9301075268817,68.266,59.334,-1.880877742946702,0,64.4,66.352,0.009404388714733676,64.44603363375884,61.785000000000004,59.12396636624116
2010-04-15,72063334,4640697360,64.5,64.9,64.0,64.4,0.6,16835,63.379999999999995,63.05999999999999,61.980000000000004,61.51000000000001,63.379999999999995,63.05999999999999,61.980000000000004,61.51000000000001,63.57185100943753,63.05710640914625,62.320796239407585,61.949745071200375,63.65333333333333,63.30727272727275,62.67666666666666,62.126021505376315,68.90800000000002,59.89200000000001,-2.484472049689454,0,64.4,66.97600000000001,0.0,64.80248117797046,61.980000000000004,59.157518822029544
2010-04-16,49739068,3141988184,63.6,63.7,62.9,63.0,-1.4,10410,63.44,63.14999999999999,62.11,61.63666666666668,63.44,63.14999999999999,62.11,61.63666666666668,63.381234006291685,63.046723425665114,62.38548231184496,62.017503453703576,63.52666666666666,63.296363636363665,62.77380952380952,62.222150537634384,67.41000000000001,58.59,-0.9523809523809548,0,63.0,65.52,0.0,64.86818781086379,62.11,59.35181218913622
